No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
0    00:14.348      00:14.371      00:37.731      23.360                Paused by player, Unpause by changed look direction
80   1:49:32.389    2:30:19.819    2:30:20.253    0.434      0.434      Paused by player, Unpause by player
81   1:49:32.639    2:30:20.465    2:30:20.788    0.323      0.323      Paused by player, Unpause by player
82   1:49:34.839    2:30:22.983    2:30:23.839    0.856      0.856      Paused by player, Unpause by player
83   1:49:35.289    2:30:24.278    2:30:24.831    0.553      0.553      Paused by player, Unpause by player
84   1:49:44.489    2:30:34.026    2:30:34.273    0.247      0.247      Paused by player, Unpause by player
85   1:49:45.139    2:30:34.919    2:30:35.157    0.238      0.238      Paused by player, Unpause by player
86   1:50:07.789    2:30:57.815    2:30:58.986    1.171      1.171      Paused by player, Unpause by player
87   1:50:08.539    2:30:59.717    2:31:00.918    1.201      1.201      Paused by player, Unpause by player
88   1:50:09.039    2:31:01.406    2:31:08.257    6.851      6.851      Paused by player, Unpause by player
89   1:50:17.939    2:31:17.149    2:31:17.826    0.677      0.677      Paused by player, Unpause by player
90   1:50:19.389    2:31:19.233    2:31:19.534    0.301      0.301      Paused by player, Unpause by player
91   1:50:45.739    2:31:45.845    2:31:46.654    0.809      0.809      Paused by player, Unpause by player
92   1:51:13.739    2:32:14.679    2:32:31.048    16.369     16.369     Paused by player, Unpause by player
93   1:51:16.339    2:32:33.647    2:32:48.601    14.954     14.954     Paused by player, Unpause by player
94   1:51:17.239    2:32:49.489    2:32:54.737    5.248      5.248      Paused by player, Unpause by player
95   1:51:54.189    2:33:31.676    2:33:32.163    0.487      0.487      Paused by player, Unpause by player
96   1:51:55.489    2:33:33.459    2:33:34.559    1.100      1.100      Paused by player, Unpause by player
97   1:51:55.839    2:33:34.894    2:33:35.098    0.204      0.204      Paused by player, Unpause by player
98   1:51:56.739    2:33:35.987    2:33:36.404    0.417      0.417      Paused by player, Unpause by player
99   1:52:01.039    2:33:40.670    2:33:41.034    0.364      0.364      Paused by player, Unpause by player
100  1:52:01.389    2:33:41.387    2:33:41.612    0.225      0.225      Paused by player, Unpause by player
101  1:52:26.789    2:34:06.990    2:34:10.102    3.112      3.112      Paused by player, Unpause by player
102  1:55:09.539    2:36:52.810    2:38:51.558    118.748    118.748    Paused by player, Unpause by player
103  1:55:17.739    2:38:59.723    2:39:16.580    16.857     16.857     Paused by player, Unpause by player
104  1:55:17.939    2:39:16.749    2:39:20.011    3.262      3.262      Paused by player, Unpause by player
105  1:55:24.539    2:39:26.615    2:39:39.965    13.350     13.350     Paused by player, Unpause by player
106  1:55:27.489    2:39:42.922    2:39:46.253    3.331      3.331      Paused by player, Unpause by player
107  1:55:29.689    2:39:48.425    2:39:53.248    4.823      4.823      Paused by player, Unpause by player
108  1:55:36.539    2:40:00.091    2:40:09.298    9.207      9.207      Paused by player, Unpause by player
109  1:55:39.639    2:40:12.390    2:41:03.944    51.554     51.554     Paused by player, Unpause by player
110  1:55:48.489    2:41:12.781    2:41:13.758    0.977      0.977      Paused by player, Unpause by player
111  1:55:51.189    2:41:16.414    2:41:23.625    7.211      7.211      Paused by player, Unpause by player
112  1:55:52.989    2:41:25.420    2:41:27.205    1.785      1.785      Paused by player, Unpause by player
113  1:55:53.139    2:41:27.323    2:41:27.942    0.619      0.619      Paused by player, Unpause by player
114  1:55:54.439    2:41:29.231    2:41:29.904    0.673      0.673      Paused by player, Unpause by player
115  1:56:00.139    2:41:35.569    2:41:37.085    1.516      1.516      Paused by player, Unpause by player
116  1:56:00.939    2:41:37.894    2:41:38.287    0.393      0.393      Paused by player, Unpause by player
117  1:56:01.789    2:41:39.100    2:41:39.774    0.674      0.674      Paused by player, Unpause by player
118  1:56:02.139    2:41:40.109    2:41:42.619    2.510      2.510      Paused by player, Unpause by player
119  1:56:37.139    2:42:17.630    2:42:26.025    8.395      8.395      Paused by player, Unpause by player
120  1:58:47.389    2:44:36.267    2:44:36.941    0.674      0.674      Paused by player, Unpause by player
121  1:59:35.639    2:45:25.161    2:45:41.395    16.234     16.234     Paused by player, Unpause by player
122  1:59:55.189    2:46:00.929    2:46:01.562    0.633      0.633      Paused by player, Unpause by player
123  2:00:02.489    2:46:08.863    2:46:22.052    13.189     13.189     Paused by player, Unpause by player
124  2:00:20.289    2:46:39.859    2:46:44.839    4.980      4.980      Paused by player, Unpause by player
125  2:00:21.089    2:46:45.609    2:46:47.111    1.502      1.502      Paused by player, Unpause by player
126  2:00:23.639    2:46:49.639    2:46:50.616    0.977      0.977      Paused by player, Unpause by player
127  2:01:09.189    2:47:36.167    2:47:38.392    2.225      2.225      Paused by player, Unpause by player
128  2:01:09.539    2:47:38.713    2:47:40.106    1.393      1.393      Paused by player, Unpause by player
129  2:01:10.639    2:47:41.180    2:47:42.114    0.934      0.934      Paused by player, Unpause by player
130  2:01:10.989    2:47:42.450    2:47:43.038    0.588      0.588      Paused by player, Unpause by player
131  2:01:11.639    2:47:43.693    2:47:44.254    0.561      0.561      Paused by player, Unpause by player
132  2:01:18.789    2:47:51.393    2:47:52.677    1.284      1.284      Paused by player, Unpause by player
133  2:01:44.139    2:48:17.981    2:48:18.456    0.475      0.475      Paused by player, Unpause by player
134  2:01:44.489    2:48:18.790    2:48:19.226    0.436      0.436      Paused by player, Unpause by player
135  2:01:58.189    2:48:32.935    2:48:34.977    2.042      2.042      Paused by player, Unpause by player
136  2:02:07.939    2:48:44.687    2:48:56.875    12.188     12.188     Paused by player, Unpause by player
137  2:02:18.489    2:49:07.398    2:49:10.449    3.051      3.051      Paused by player, Unpause by player
138  2:02:19.339    2:49:11.275    2:49:11.862    0.587      0.587      Paused by player, Unpause by player
139  2:02:27.939    2:49:20.448    2:49:23.059    2.611      2.611      Paused by player, Unpause by player
140  2:02:40.539    2:49:35.642    2:49:36.570    0.928      0.928      Paused by player, Unpause by player
141  2:02:42.339    2:49:38.364    2:49:39.435    1.071      1.071      Paused by player, Unpause by player
142  2:02:47.239    2:49:44.311    2:49:45.757    1.446      1.446      Paused by player, Unpause by player
143  2:02:56.089    2:49:54.586    2:50:07.288    12.702     12.702     Paused by player, Unpause by player
144  2:02:58.039    2:50:09.234    2:50:51.378    42.144     42.144     Paused by player, Unpause by player
145  2:03:02.189    2:50:55.506    2:51:18.211    22.705     22.705     Paused by player, Unpause by player
146  2:03:28.339    2:51:44.342    2:51:46.366    2.024      2.024      Paused by player, Unpause by player
147  2:04:13.189    2:52:31.216    2:52:31.757    0.541      0.541      Paused by player, Unpause by player
0    2:05:36.189    2:53:54.712    2:54:00.905    6.193                 Paused by player, Unpause by rendered
1    2:06:31.685    2:54:56.406    2:55:02.304    5.898      5.898      Paused by player, Unpause by player
0    2:06:31.785    2:55:02.400    3:03:13.741    491.341               Paused by player, Unpause by rendered
0    2:06:48.931    3:03:30.902    18367:59:43.31966113772.417           Paused by player, Unpause by rendered
1    2:12:07.172    18368:05:01.57018368:05:04.5652.995      2.995      Paused by player, Unpause by player
